"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Passado";"C_Max";"Ano_Max";"Mediana";"SPI"
15400000;-8,7414909061105;-63,9098491828945;976000;"PORTO VELHO";2023-06-13 13:15:00;2023-06-13 12:15:00;2023-06-13 11:15:00;869;;;;;0;0;885;885;"2022";1048;-0,919567609389131
15250000;-10,7904128147678;-65,3402580392168;609000;"GUAJARÁ-MIRIM";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;880;-1;-17;-46;-88;2,6;2,6;759;982;"2017";928,5;-0,071534595782066
15318000;-10,3504498489983;-65,360596199069;834000;"UHE JIRAU JUSANTE RIO BENI";2023-06-13 14:15:00;2023-06-13 13:15:00;2023-06-13 12:15:00;1275;-9;-84;-141;-100;28,5;28,5;;1547;"2014";1287;-0,0770307209900523
15326000;-9,77955908299952;-65,5197841260444;31100;"MORADA NOVA JUSANTE";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;1129;-1;-29;-80;-113;13,6;37;1059;1294;"2014";1075;0,218738575484437
15560000;-10,8710172967507;-61,9307115117515;32800;"JI-PARANA";2023-06-13 14:00:00;2023-06-13 13:00:00;2023-06-13 12:00:00;719;9;-5;-2;-17;11,6;12;766;766;"2022";706;0,363843059445251
15630000;-7,50077540103552;-63,0102062595394;1090000;"HUMAITÁ";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;1841;-24;18;-32;-113;0;12,6;1595;2150;"2014";1800;0,284838998705302
