"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Passado";"C_Max";"Ano_Max";"Mediana";"SPI"
13450000;"ASSIS BRASIL";2023-06-13 13:15:00;2023-06-13 12:15:00;2023-06-13 11:15:00;288;-5;-10;-123;-24;13,2;15,2;377;304;"2012";245,5;0,343853107704897
13470000;"BRASILEIA";2023-06-13 13:15:00;2023-06-13 12:15:00;2023-06-13 11:15:00;161;-7;-27;-224;-164;5,4;5,4;866;205;"2015";245;-1,95159914612363
13550000;"XAPURI";2023-06-13 13:30:00;2023-06-13 12:30:00;2023-06-13 11:30:00;240;0;-66;-232;-244;1;4,6;NA;341;"2015";344,5;-1,57314975984138
13568000;"CAPIXABA";2023-06-02 21:30:00;2023-06-02 20:30:00;2023-06-02 19:30:00;519;-62;69;315;-42;4,4;4,8;NA;NA;NA;NA;NA
13578000;"RIO ROLA";2023-06-13 13:15:00;2023-06-13 12:15:00;2023-06-13 11:15:00;239;5;-82;-113;-237;61,4;63,8;NA;NA;"2022";270;-3,48551067382784
13600002;"RIO BRANCO";2023-06-13 13:45:00;2023-06-13 12:45:00;2023-06-13 11:45:00;343;8;-115;-169;-28;9,2;11,6;414;461;"2015";414;-0,997099303947431
